,,,,,,
,,,,,,
,,,,,,
,Стоимость услуг ,,,,,
,,,,,,
,1. Услуги,Стоимость,Комментарий,,,
,•	Забор товара с ТЯК/ЮВ/Садовод	 ,от 3500 ₽,"зависит от объема, грузчики и въезд оплачитвается отдельно",,,
,• Предоставление видеозаписи приема/отгрузки/упаковки заказа     ,"250,00 ₽",прописывается в ТЗ,,,
,• Доп. услуги менеджера (закрывающие документы в формате клиента),от 500 ₽,прописывается в ТЗ,,,
,•	Создание поставки в кабинете Маркетплейса ,"1 000,00 ₽",,,,
,•	Фотоотчет по товару,"50,00 ₽",,,,
,2. Первичная обработка,,,,,
,•	Приемка товара  ,"6,00 ₽",,,,
,• Сортировка товара (более 3-х артикулов в поставке),"3,50 ₽",,,,
,• Разгрузка короб до 25 кг ,"60,00 ₽",,,,
,• Разгрузка короб более 25 кг ,"90,00 ₽",,,,
,• Разгрузка мешок,"175,00 ₽",,,,
,•Снятие обрешетки с паллета,"450,00 ₽",,,,
,•Снятие обрешетки с короба,"90,00 ₽",,,,
,•Разгрузка паллет,"240,00 ₽",,,,
,3. Обработка товара,,,,,
,•	Проверка соотвествия образцу 1SKU ,"290,00 ₽",,,,
,•	Проверка на брак S ( товар до футболки/ мини юбки),"12,00 ₽",,,,
,•	Проверка на брак M ( товар до штанов/ пиджаков),"18,00 ₽",,,,
,"•	Проверка на брак L ( верхняя одежда и обувь, сумки, рюкзаки)","23,00 ₽",,,,
,•	Проверка на брак XL ( пуховики/ шубы/ постельное белье),"29,00 ₽",,,,
,"•	Устранение мелкого брака ( нитки, пятнышки и тд)","12,00 ₽",,,,
,"•	Проверка на брак техника ( включить, вставить батарейки)","12,00 ₽",,,,
,• Внешний осмотр на брак заводской упаковки,"6,00 ₽",,,,
,"•	Мелкие задачи (Пристегнуть булавку, прорезать отверстие, застегнуть пуговицы, шнуровка)","4,00 ₽",,,,
,•	Шнуровка обуви,"12,00 ₽",,,,
,•	Отпаривание S (до рубашки/ штанов),"60,00 ₽",,,,
,•	Отпаривание M ( куртки/ комбинизоны),"70,00 ₽",,,,
,• Навесить бирку ( нейлон патрон/ веревка/ бирка входит в стоимость),"7,00 ₽",,,,
,"•	Вложение вкладыша ( инструкции, подарок, визитка до 1-2 единиц)","5,00 ₽",,,,
,"• Вложение вкладыша ( инструкции, подарок, визитка от 2 до 5 единиц)","8,00 ₽",,,,
,"•	Вложение вкладыша ( инструкции, подарок, визитка от 6 и более)","14,00 ₽",,,,
,• Сборка комплектов (1-2 единицы),"6,00 ₽",,,,
,• Сборка комплектов (3-5 единиц),"9,00 ₽",,,,
,• Сборка комплектов (от 6 и более единиц),"15,00 ₽",,,,
,"• Печать А4 (инструкции, вкладыши) 1 страница","6,00 ₽",,,,
,• Укрепление индивидуального короба,"6,00 ₽",,,,
,•	Маркировка товара,"4,50 ₽",,,,
,•	Двойная маркировка товара,"9,00 ₽",,,,
,•	Нанесение честного знака,"5,50 ₽",,,,
,•	Двойное нанесение честного знака,"10,00 ₽",,,,
,•	Снятие замеров,"290,00 ₽",,,,
,•	Упаковка товара в зип пакет,"6,00 ₽",,,,
,• Упаковка товара в пузырчатую пленку S        ,"15,00 ₽",до 30 см пленки,,,
,• Упаковка товара в пузырчатую пленку M,"25,00 ₽",до 60см пленки,,,
,• Упаковка товара в пузырчатую пленку L       ,"35,00 ₽",до 100см пленки,,,
,• Упаковка товара в БОПП пакет,"6,00 ₽",,,,
,• Упаковка товара в индивидивидуальный короб,"9,00 ₽",,,,
,•	Расспределение маркированного товара по коробам,"3,50 ₽",,,,
,•	Приклеить шк коробов,"0,00 ₽",,,,
,•	Приклеить шк поставки,"0,00 ₽",,,,
,•	Закрепить коробку скотчем,"0,00 ₽",,,,
,4. Хранение (первая неделя бесплатно),,,,,
,1 короб/ день,"7,50 ₽",крупные клиенты рассматриваются индивидуально,,,
,1 паллет / день,"75,00 ₽",крупные клиенты рассматриваются индивидуально,,,
,5. Пакеты и материалы,,,,,
,5.1 Zip slider (бегунок),,5.2 БОПП (с клейкой лентой),,,
,14х17,"  6,00 ₽ ",7 x 10 х3,"  1,00 ₽ ",,
,15х15,"  7,00 ₽ ",4 x 20 х 3,"  1,00 ₽ ",,
,15х20,"  8,00 ₽ ",8 x 20 х 3,"  2,00 ₽ ",,
