ID сотрудника,Номера палета,Номер короба ,Баркод,Название товара (идет в этикетку),Кол-во,Склад,Баркод короба
1,1,1,2040997182264,Перчатки боксерские черный	12 OZ,10,Котовск,WB_1437226596
1,1,2,2040997182264,Перчатки боксерские черный	12 OZ,10,Котовск,"WB_1437226597
"
1,1,3,2040997182264,Перчатки боксерские черный	12 OZ,10,Невинномысск,"WB_1437257783
"
1,1,4,2040997182264,Перчатки боксерские черный	12 OZ,10,Невинномысск,WB_1437257784
1,1,5,2040997175747,Перчатки боксерские черный	10 OZ,10,Котовск,WB_1437226598
1,1,6,2040997175747,Перчатки боксерские черный	10 OZ,10,Котовск,WB_1437226599
1,1,7,2040997175747,Перчатки боксерские черный	10 OZ,10,Невинномысск,WB_1437257785
55,1,8,2040997175747,Перчатки боксерские черный	10 OZ,10,Невинномысск,WB_1437257786
55,1,9,2042151365636,Перчатки боксерские Аквамариновый	10 OZ,10,Котовск,WB_1437226600
55,1,10,2042151365636,Перчатки боксерские Аквамариновый	10 OZ,10,Невинномысск,WB_1437257787
55,1,11,2042151365643,Перчатки боксерские Аквамариновый	12 OZ,10,Котовск,WB_1437226601
55,1,12,2042151365643,Перчатки боксерские Аквамариновый	12 OZ,10,Невинномысск,WB_1437257788
55,1,13,2042151465800,Перчатки боксерские Васильковый	10 OZ,10,Котовск,WB_1437226602
55,1,14,2042151465800,Перчатки боксерские Васильковый	10 OZ,10,Котовск,"WB_1437226603
"
55,1,15,2042151465800,Перчатки боксерские Васильковый	10 OZ,9,Невинномысск,WB_1437257789
55,1,16,2042151581128,Перчатки боксерские белый	10 OZ,10,Котовск,WB_1437226604
55,2,17,2042151465817,Перчатки боксерские Васильковый	12 OZ,10,Котовск,WB_1437226605
55,2,18,2042151465817,Перчатки боксерские Васильковый	12 OZ,10,Невинномысск,"WB_1437257790
"
,2,19,2040997918436,Перчатки боксерские розовый	12 OZ,10,Котовск,WB_1437226606
,2,20,2040997918436,Перчатки боксерские розовый	12 OZ,10,Котовск,WB_1437226607
